Main Category;Subcategory 1;Subcategory 2;Subcategory 3;Subcategory 4;Subcategory 5;Subcategory 6;Subcategory 7;Subcategory 8;Main ID;SUB1 ID;SUB2 ID;SUB3 ID;SUB4 ID;SUB5 ID;SUB6 ID;SUB7 ID;SUB8 ID;Main Slug;SUB1 Slug;SUB2 Slug;SUB3 Slug;SUB4 Slug;SUB5 Slug;SUB6 Slug;SUB7 Slug;SUB8 Slug
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Art Portfolios;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;b03caa75-2f56-4d58-bf6c-0b9684630e85;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-art-portfolios;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Art Storage Cabinets;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;3f390527-c4f5-45ba-860c-77bb59ca9dbf;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-art-storage-cabinets;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Art Tool & Sketch Storage Boxes;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;c84877d1-0a0d-4ac9-8ba2-57fdd3d2900a;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-art-tool-sketch-storage-boxes;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Arts & Crafts Drying & Print Racks;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;5037c8f4-dba8-411d-b3b8-9b0af6bfbb1b;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-arts-crafts-drying-print-racks;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Arts & Crafts Storage Boxes & Organizers;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;dd87bfc7-f93f-4b67-8ced-4d97d74aac4c;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-arts-crafts-storage-boxes-organizers;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Beading Storage;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;2174d034-292e-4873-963c-b66cdbba1c35;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-beading-storage;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Craft & Sewing Supplies Storage;;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;86125670-f024-4d13-8b03-17e1e310ef2f;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage;;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Craft & Sewing Supplies Storage;Embroidery Storage;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;86125670-f024-4d13-8b03-17e1e310ef2f;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage-Embroidery Storage;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Craft & Sewing Supplies Storage;Scrapbooking Storage Products;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;86125670-f024-4d13-8b03-17e1e310ef2f;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage-Scrapbooking Storage Products;;;;;
Arts, Crafts & Sewing;Arts, Crafts & Sewing Storage;Craft & Sewing Supplies Storage;Sewing Storage;;;;;;b5c2c1af-9312-4aa5-b50d-4969b2af0ad9;4fd975fc-858d-4ef9-a584-76e552ce1e0b;86125670-f024-4d13-8b03-17e1e310ef2f;;;;;;;;;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage;arts-crafts-sewing-arts-crafts-sewing-storage-craft-sewing-supplies-storage-Sewing Storage;;;;;
